order_item_id,order_id,menu_id,quantity,item_price,item_total
27983423,12435440,1,5,3.99,19.95
6736420,2995546,1,1,2.99,2.99
15676950,6968121,1,1,2.99,2.99
22487628,9994749,1,1,2.99,2.99
6584873,2928401,1,1,2.99,2.99
13441521,5974773,1,1,2.99,2.99
17685109,7860840,1,1,2.99,2.99
15517400,6897195,1,1,2.99,2.99
4295298,1910474,1,1,2.99,2.99
15637722,6950695,1,1,2.99,2.99
8884089,3949644,1,1,2.99,2.99
23757047,10558541,1,1,3.99,3.99
24956846,11091296,1,1,3.99,3.99
28224941,12542578,1,1,3.99,3.99
22515379,10007006,1,1,3.99,3.99
27813522,12360043,1,1,3.99,3.99
25526967,11344307,1,1,3.99,3.99
26472544,11764206,1,1,3.99,3.99
23910649,10626608,1,1,3.99,3.99
29362715,13048162,1,1,3.99,3.99
25350938,11266074,1,1,3.99,3.99
23529528,10457329,1,1,3.99,3.99
26376136,11721207,1,2,3.99,7.98
30445849,13529795,1,4,3.99,15.96
23535331,10459955,2,5,4.99,24.95
24466765,10873698,2,5,4.99,24.95
4441338,1975381,2,3,3.99,11.97
26065930,11583424,2,3,4.99,14.97
28376697,12610150,2,3,4.99,14.97
17983416,7993312,2,1,3.99,3.99
11183891,4972935,2,1,3.99,3.99
13272052,5899589,2,1,3.99,3.99
4195884,1866429,2,1,3.99,3.99
6540993,2908983,2,1,3.99,3.99
6399779,2846221,2,1,3.99,3.99
15633029,6948591,2,1,3.99,3.99
15544021,6908984,2,1,3.99,3.99
1923855,856032,2,1,3.99,3.99
4146122,1844351,2,1,3.99,3.99
17686235,7861329,2,1,3.99,3.99
8892263,3953293,2,4,3.99,15.96
1905558,847972,2,4,3.99,15.96
25002140,11111403,2,1,4.99,4.99
25895858,11507940,2,1,4.99,4.99
30190163,13416094,2,1,4.99,4.99
22911131,10182509,2,1,4.99,4.99
23561853,10471735,2,1,4.99,4.99
29214170,12982243,2,1,4.99,4.99
24343987,10819267,2,1,4.99,4.99
23252546,10334214,2,1,4.99,4.99
23226595,10322742,2,1,4.99,4.99
23288741,10350357,2,1,4.99,4.99
29595801,13151822,2,1,4.99,4.99
25569228,11362895,2,1,4.99,4.99
30218064,13428640,2,1,4.99,4.99
22997970,10220975,2,1,4.99,4.99
29328942,13033123,2,1,4.99,4.99
26818685,11917938,2,1,4.99,4.99
28966505,12872185,2,1,4.99,4.99
25947488,11530719,2,1,4.99,4.99
28152796,12510539,2,1,4.99,4.99
24452239,10867202,2,1,4.99,4.99
26129002,11611589,2,1,4.99,4.99
29017145,12894630,2,2,4.99,9.98
26094041,11595875,2,2,4.99,9.98
27329199,12145078,2,2,4.99,9.98
27813249,12359909,2,2,4.99,9.98
26375957,11721129,2,4,4.99,19.96
28105814,12489783,2,4,4.99,19.96
2133656,949517,3,5,4.99,24.95
13370042,5943156,3,5,4.99,24.95
29644865,13173616,3,3,5.99,17.97
26954250,11978349,3,3,5.99,17.97
24039698,10684069,3,3,5.99,17.97
20125051,8945405,3,1,4.99,4.99
20083374,8926921,3,1,4.99,4.99
20078813,8924870,3,1,4.99,4.99
20078812,8924870,3,1,4.99,4.99
2085792,928035,3,1,4.99,4.99
22427780,9968124,3,1,4.99,4.99
10980614,4882733,3,1,4.99,4.99
1968279,875737,3,1,4.99,4.99
4330398,1926047,3,1,4.99,4.99
4349330,1934452,3,1,4.99,4.99
10947099,4867740,3,1,4.99,4.99
6450923,2868951,3,1,4.99,4.99
15634721,6949348,3,1,4.99,4.99
29962140,13314523,3,1,5.99,5.99
25437825,11304782,3,1,5.99,5.99
29270085,13007084,3,1,5.99,5.99
27825595,12365449,3,1,5.99,5.99
28077796,12477335,3,1,5.99,5.99
25263571,11227388,3,1,5.99,5.99
24914957,11072801,3,1,5.99,5.99
30190162,13416094,3,1,5.99,5.99
27801134,12354455,3,1,5.99,5.99
22602318,10045573,3,1,5.99,5.99
22742703,10107768,3,1,5.99,5.99
24106030,10713727,3,1,5.99,5.99
24170633,10742437,3,1,5.99,5.99
27396682,12174912,3,1,5.99,5.99
29971005,13318434,3,1,5.99,5.99
23700218,10533288,3,1,5.99,5.99
25569232,11362895,3,1,5.99,5.99
26059949,11580783,3,1,5.99,5.99
30229883,13433859,3,1,5.99,5.99
29020223,12896027,3,1,5.99,5.99
27035573,12014602,3,1,5.99,5.99
24169244,10741815,3,1,5.99,5.99
24120471,10720222,3,1,5.99,5.99
27658666,12291104,3,1,5.99,5.99
30281895,13457004,3,1,5.99,5.99
15659877,6960540,3,2,4.99,9.98
11205800,4982528,3,2,4.99,9.98
13363072,5940035,3,2,4.99,9.98
22943145,10196736,3,2,5.99,11.98
22610364,10049173,3,2,5.99,11.98
23917470,10629624,3,2,5.99,11.98
28420861,12629659,3,2,5.99,11.98
27809836,12358354,3,2,5.99,11.98
29999533,13331101,3,2,5.99,11.98
22939196,10194935,3,2,5.99,11.98
23046964,10242689,3,4,5.99,23.96
23046967,10242689,3,4,5.99,23.96
24929154,11079083,3,4,5.99,23.96
29630003,13166959,3,4,5.99,23.96
25710819,11425698,4,3,2.99,8.97
13380225,5947597,4,1,2.99,2.99
27469408,12207194,4,1,2.99,2.99
26615578,11827581,4,1,2.99,2.99
22574034,10033029,4,1,2.99,2.99
27672182,12297191,4,1,2.99,2.99
30070098,13362666,4,1,2.99,2.99
24204305,10757241,4,1,2.99,2.99
23583723,10481453,4,1,2.99,2.99
30050506,13353936,4,1,2.99,2.99
29964371,13315538,4,1,2.99,2.99
22800689,10133388,4,1,2.99,2.99
13452154,5979532,4,1,2.99,2.99
29524765,13120245,4,1,2.99,2.99
25188042,11193998,4,1,2.99,2.99
28892887,12839614,4,1,2.99,2.99
1928962,858263,4,1,2.99,2.99
25102952,11156365,4,1,2.99,2.99
28111191,12492120,4,1,2.99,2.99
26778211,11899922,4,1,2.99,2.99
28930826,12856353,4,1,2.99,2.99
27872129,12386203,4,1,2.99,2.99
25845555,11485671,4,1,2.99,2.99
28999204,12886580,4,1,2.99,2.99
23675961,10522449,4,1,2.99,2.99
17715949,7874457,4,1,2.99,2.99
6420623,2855561,4,1,2.99,2.99
30292408,13461625,4,1,2.99,2.99
29302866,13021590,4,1,2.99,2.99
23985243,10659702,4,1,2.99,2.99
30075083,13364890,4,1,2.99,2.99
25566310,11361615,4,1,2.99,2.99
26070599,11585482,4,1,2.99,2.99
2214936,985682,4,1,2.99,2.99
6635813,2951088,4,1,2.99,2.99
17860067,7938492,4,1,2.99,2.99
29678188,13188421,4,1,2.99,2.99
2212400,984575,4,1,2.99,2.99
28709370,12758121,4,1,2.99,2.99
22251390,9889992,4,1,2.99,2.99
23092129,10262572,4,2,2.99,5.98
10884399,4839885,4,2,2.99,5.98
29493397,13106201,4,2,2.99,5.98
25714760,11427447,4,2,2.99,5.98
22114486,9829217,4,2,2.99,5.98
24816169,11029020,4,2,2.99,5.98
24499566,10888283,4,2,2.99,5.98
29329514,13033378,4,4,2.99,11.96
13229964,5880891,5,5,3.99,19.95
22609939,10048990,5,1,3.99,3.99
25716826,11428380,5,1,3.99,3.99
25035355,11126213,5,1,3.99,3.99
29947172,13307892,5,1,3.99,3.99
23253039,10334443,5,1,3.99,3.99
27627876,12277585,5,1,3.99,3.99
4305514,1915025,5,1,3.99,3.99
23719225,10541702,5,1,3.99,3.99
10974904,4880193,5,1,3.99,3.99
25446765,11308729,5,1,3.99,3.99
25489497,11327590,5,1,3.99,3.99
27538603,12237945,5,1,3.99,3.99
26888731,11949205,5,1,3.99,3.99
29273461,13008562,5,1,3.99,3.99
26456919,11757260,5,1,3.99,3.99
24095514,10708974,5,1,3.99,3.99
30302070,13465964,5,1,3.99,3.99
24502536,10889581,5,1,3.99,3.99
1931562,859412,5,1,3.99,3.99
29666587,13183196,5,1,3.99,3.99
23435214,10415506,5,1,3.99,3.99
4119979,1832695,5,1,3.99,3.99
10980616,4882733,5,1,3.99,3.99
28349410,12597967,5,1,3.99,3.99
19864310,8829317,5,1,3.99,3.99
30337568,13481753,5,1,3.99,3.99
27079964,12034332,5,1,3.99,3.99
28901701,12843474,5,1,3.99,3.99
23523836,10454778,5,1,3.99,3.99
24610580,10937835,5,1,3.99,3.99
17791209,7907731,5,1,3.99,3.99
10891109,4842876,5,1,3.99,3.99
6488621,2885646,5,1,3.99,3.99
10905335,4849235,5,2,3.99,7.98
15385935,6838712,5,2,3.99,7.98
30289491,13460355,5,2,3.99,7.98
8739937,3885442,5,2,3.99,7.98
27931531,12412487,5,4,3.99,15.96
24489752,10883890,5,4,3.99,15.96
23119102,10274675,6,5,4.99,24.95
11217282,4987515,6,3,4.99,14.97
25641417,11394877,6,3,4.99,14.97
30364917,13493829,6,3,4.99,14.97
23800581,10577850,6,3,4.99,14.97
26180141,11634047,6,1,4.99,4.99
26303212,11688732,6,1,4.99,4.99
6666435,2964578,6,1,4.99,4.99
6583277,2927687,6,1,4.99,4.99
6538436,2907849,6,1,4.99,4.99
28001087,12443319,6,1,4.99,4.99
24027719,10678746,6,1,4.99,4.99
22696007,10087137,6,1,4.99,4.99
20229600,8991932,6,1,4.99,4.99
22542754,10019134,6,1,4.99,4.99
23619630,10497429,6,1,4.99,4.99
22236149,9883122,6,1,4.99,4.99
24557962,10914419,6,1,4.99,4.99
20000623,8890100,6,1,4.99,4.99
4414706,1963533,6,1,4.99,4.99
8623521,3833557,6,1,4.99,4.99
27984807,12436055,6,1,4.99,4.99
23523835,10454778,6,1,4.99,4.99
30395989,13507774,6,1,4.99,4.99
27577265,12255103,6,1,4.99,4.99
4192497,1864925,6,1,4.99,4.99
15632591,6948392,6,1,4.99,4.99
2172827,966989,6,1,4.99,4.99
28990072,12882590,6,1,4.99,4.99
23554910,10468686,6,1,4.99,4.99
2006301,892689,6,1,4.99,4.99
26286455,11681329,6,1,4.99,4.99
27275018,12120861,6,1,4.99,4.99
24753769,11001384,6,1,4.99,4.99
24998459,11109740,6,1,4.99,4.99
25917621,11517581,6,1,4.99,4.99
24504447,10890481,6,1,4.99,4.99
20020495,8898877,6,1,4.99,4.99
30098844,13375426,6,1,4.99,4.99
28506981,12667921,6,1,4.99,4.99
29225053,12987020,6,1,4.99,4.99
8793328,3909257,6,1,4.99,4.99
15557668,6915033,6,2,4.99,9.98
28948908,12864362,6,2,4.99,9.98
22117310,9830507,6,2,4.99,9.98
29386960,13058985,6,2,4.99,9.98
23298558,10354745,6,2,4.99,9.98
27366084,12161361,6,2,4.99,9.98
28668020,12739691,6,2,4.99,9.98
26665243,11849687,6,2,4.99,9.98
25466987,11317671,6,2,4.99,9.98
29527751,13121579,6,4,4.99,19.96
29716290,13205336,6,4,4.99,19.96
20246121,8999299,6,4,4.99,19.96
23810825,10582364,7,5,4.99,24.95
23815671,10584473,7,5,4.99,24.95
23119103,10274675,7,5,4.99,24.95
13146408,5843658,7,5,2.99,14.95
22113341,9828723,7,1,2.99,2.99
17919022,7964511,7,1,2.99,2.99
20044617,8909670,7,1,2.99,2.99
