order_id,location_id,customer_id,order_datetime,order_completion_datetime
7913576,1,7185,2023-09-27 00:46:10.93634 UTC,2023-09-27 00:46:34.93634 UTC
1972289,1,7310,2023-11-10 12:20:58.052641 UTC,2023-11-10 12:25:14.052641 UTC
10000621,1,8631,2023-12-01 15:30:18.628451 UTC,2023-12-01 15:31:28.628451 UTC
3917234,1,9003,2023-09-29 21:15:30.719616 UTC,2023-09-29 21:22:08.719616 UTC
10379532,1,6261,2023-12-26 22:44:18.628451 UTC,2023-12-26 22:51:45.628451 UTC
12944713,1,3307,2024-06-14 22:19:18.628451 UTC,2024-06-14 22:25:52.628451 UTC
12440787,1,5085,2024-05-12 07:07:18.628451 UTC,2024-05-12 07:10:19.628451 UTC
4874669,1,1070,2023-08-28 16:02:19.789965 UTC,2023-08-28 16:09:05.789965 UTC
11044852,1,2611,2024-02-09 06:32:18.628451 UTC,2024-02-09 06:32:32.628451 UTC
10570439,1,10661,2024-01-08 15:21:18.628451 UTC,2024-01-08 15:31:18.628451 UTC
11178548,1,3792,2024-02-18 04:24:18.628451 UTC,2024-02-18 04:35:19.628451 UTC
3941461,1,465,2023-10-18 07:36:30.719616 UTC,2023-10-18 07:44:50.719616 UTC
10661893,1,6386,2024-01-14 18:27:18.628451 UTC,2024-01-14 18:36:13.628451 UTC
5870766,1,5545,2023-08-25 11:12:46.226714 UTC,2023-08-25 11:16:42.226714 UTC
11080620,1,2003,2024-02-11 16:00:18.628451 UTC,2024-02-11 16:01:06.628451 UTC
13253335,1,1466,2024-07-05 11:25:18.628451 UTC,2024-07-05 11:34:03.628451 UTC
8974164,1,9576,2023-11-11 19:00:34.749663 UTC,2023-11-11 19:11:05.749663 UTC
13339048,1,6218,2024-07-11 04:57:18.628451 UTC,2024-07-11 04:59:40.628451 UTC
6936705,1,6115,2023-10-14 16:08:33.269681 UTC,2023-10-14 16:16:28.269681 UTC
11681388,1,8545,2024-03-22 16:58:18.628451 UTC,2024-03-22 17:08:31.628451 UTC
2927557,1,1563,2023-10-07 11:19:18.81691 UTC,2023-10-07 11:29:20.81691 UTC
9996792,1,8867,2023-11-29 04:43:18.628451 UTC,2023-11-29 04:47:05.628451 UTC
9850857,1,2884,2023-08-09 18:18:18.628451 UTC,2023-08-09 18:20:48.628451 UTC
12240142,1,1669,2024-04-28 21:29:18.628451 UTC,2024-04-28 21:39:16.628451 UTC
12588200,1,9838,2024-05-22 02:40:18.628451 UTC,2024-05-22 02:51:09.628451 UTC
11264364,1,6592,2024-02-23 21:46:18.628451 UTC,2024-02-23 21:57:25.628451 UTC
13188421,1,3667,2024-07-01 04:00:18.628451 UTC,2024-07-01 04:08:23.628451 UTC
12441221,1,3774,2024-05-12 07:45:18.628451 UTC,2024-05-12 07:58:58.628451 UTC
10398539,1,8226,2023-12-28 05:16:18.628451 UTC,2023-12-28 05:29:57.628451 UTC
10099958,1,4848,2023-12-08 06:34:18.628451 UTC,2023-12-08 06:35:41.628451 UTC
11331447,1,8654,2024-02-28 09:03:18.628451 UTC,2024-02-28 09:13:01.628451 UTC
9875901,1,522,2023-08-28 22:48:18.628451 UTC,2023-08-28 22:54:48.628451 UTC
2968821,1,8175,2023-11-07 22:31:18.81691 UTC,2023-11-07 22:41:11.81691 UTC
10338207,1,7869,2023-12-24 04:47:18.628451 UTC,2023-12-24 04:58:47.628451 UTC
13143192,1,7527,2024-06-28 04:30:18.628451 UTC,2024-06-28 04:40:54.628451 UTC
13054588,1,1124,2024-06-22 06:36:18.628451 UTC,2024-06-22 06:43:03.628451 UTC
11358742,1,5131,2024-03-01 04:44:18.628451 UTC,2024-03-01 04:58:36.628451 UTC
12966263,1,1808,2024-06-16 09:00:18.628451 UTC,2024-06-16 09:00:19.628451 UTC
11635283,2,10278,2024-03-19 15:18:18.628451 UTC,2024-03-19 15:24:22.628451 UTC
11827858,2,5017,2024-04-01 11:38:18.628451 UTC,2024-04-01 11:50:21.628451 UTC
12979629,2,9344,2024-06-17 06:18:18.628451 UTC,2024-06-17 06:30:49.628451 UTC
12538155,2,6156,2024-05-18 18:54:18.628451 UTC,2024-05-18 19:04:22.628451 UTC
6884043,2,7524,2023-09-04 07:33:33.269681 UTC,2023-09-04 07:47:12.269681 UTC
6908984,2,5574,2023-09-23 10:43:33.269681 UTC,2023-09-23 10:51:01.269681 UTC
10655399,2,1701,2024-01-14 08:05:18.628451 UTC,2024-01-14 08:14:59.628451 UTC
3964771,2,10129,2023-11-04 20:31:30.719616 UTC,2023-11-04 20:39:44.719616 UTC
11202472,2,6061,2024-02-19 19:06:18.628451 UTC,2024-02-19 19:11:18.628451 UTC
12780234,2,4087,2024-06-03 23:08:18.628451 UTC,2024-06-03 23:13:26.628451 UTC
10484431,2,2291,2024-01-02 21:51:18.628451 UTC,2024-01-02 22:02:02.628451 UTC
10006328,2,8287,2023-12-02 00:32:18.628451 UTC,2023-12-02 00:38:19.628451 UTC
6849688,2,10542,2023-08-09 01:09:33.269681 UTC,2023-08-09 01:15:22.269681 UTC
11294326,2,10352,2024-02-25 21:39:18.628451 UTC,2024-02-25 21:53:51.628451 UTC
11510531,2,3253,2024-03-11 07:37:18.628451 UTC,2024-03-11 07:42:45.628451 UTC
2995964,2,4730,2023-11-28 12:31:18.81691 UTC,2023-11-28 12:41:51.81691 UTC
12052840,2,2108,2024-04-16 10:20:18.628451 UTC,2024-04-16 10:25:40.628451 UTC
11949205,2,2464,2024-04-09 13:31:18.628451 UTC,2024-04-09 13:38:56.628451 UTC
7909757,2,3637,2023-09-24 03:35:10.93634 UTC,2023-09-24 03:45:36.93634 UTC
7985343,2,2220,2023-11-20 11:03:10.93634 UTC,2023-11-20 11:15:49.93634 UTC
13211162,2,4393,2024-07-02 16:25:18.628451 UTC,2024-07-02 16:37:07.628451 UTC
10331691,2,8569,2023-12-23 18:21:18.628451 UTC,2023-12-23 18:28:48.628451 UTC
5902303,2,7988,2023-09-18 13:22:46.226714 UTC,2023-09-18 13:31:04.226714 UTC
12807805,2,1761,2024-06-05 19:08:18.628451 UTC,2024-06-05 19:19:07.628451 UTC
10862109,2,1909,2024-01-28 02:27:18.628451 UTC,2024-01-28 02:34:02.628451 UTC
10654931,2,684,2024-01-14 07:18:18.628451 UTC,2024-01-14 07:30:56.628451 UTC
6881918,2,5355,2023-09-02 14:54:33.269681 UTC,2023-09-02 15:01:04.269681 UTC
12891303,2,7226,2024-06-11 08:47:18.628451 UTC,2024-06-11 09:00:32.628451 UTC
10397966,2,4995,2023-12-28 04:20:18.628451 UTC,2023-12-28 04:23:52.628451 UTC
12734499,2,5672,2024-05-31 22:01:18.628451 UTC,2024-05-31 22:11:34.628451 UTC
919026,2,7366,2023-10-01 02:34:47.952295 UTC,2023-10-01 02:38:20.952295 UTC
13349355,2,8139,2024-07-11 21:15:18.628451 UTC,2024-07-11 21:19:10.628451 UTC
10081284,2,4519,2023-12-07 00:30:18.628451 UTC,2023-12-07 00:38:21.628451 UTC
10159068,2,7634,2023-12-12 06:17:18.628451 UTC,2023-12-12 06:25:29.628451 UTC
11953974,2,411,2024-04-09 21:01:18.628451 UTC,2024-04-09 21:04:57.628451 UTC
10632800,2,508,2024-01-12 19:32:18.628451 UTC,2024-01-12 19:44:54.628451 UTC
10445326,2,5352,2023-12-31 07:37:18.628451 UTC,2023-12-31 07:47:17.628451 UTC
5859632,2,3714,2023-08-17 00:08:46.226714 UTC,2023-08-17 00:09:12.226714 UTC
9887356,2,3508,2023-09-06 16:04:18.628451 UTC,2023-09-06 16:17:59.628451 UTC
13309104,2,2979,2024-07-09 04:46:18.628451 UTC,2024-07-09 04:56:10.628451 UTC
